CQI,MCS,BRATE(DW),BLER(DW),SNR,PHR,BLER(UP),BRATE(UP),CLASS
14.4,26.6,708000.0,1.1,8.77,37.2,3.37,206,1024
12.6,20.8,744000.0,1.3,9.19,37.0,4.31,221,1024
14.4,25.6,744000.0,2.1,9.00,37.3,3.78,239,1024
15.0,26.8,734000.0,1.1,8.81,36.5,3.81,269,1024
13.8,23.3,790000.0,2.0,8.92,36.8,3.96,246,1024
15.0,25.5,675000.0,4.1,9.39,35.4,4.59,219,1024
15.0,27.0,555000.0,1.1,8.66,36.9,4.14,216,1024
15.0,26.6,588000.0,3.3,8.29,38.0,3.40,166,1024
15.0,26.9,662000.0,1.8,9.00,36.3,3.91,169,1280
14.4,26.4,868000.0,0,8.89,36.3,3.79,256,1280
15.0,26.8,785000.0,0,9.44,37.5,4.56,260,1280
15.0,27.0,438000.0,0,7.75,35.9,3.61,142,1280
15.0,26.9,517000.0,1.1,8.08,35.9,3.19,181,1280
15.0,26.9,547000.0,0,9.52,35.2,5.33,166,1280
15.0,26.7,940000.0,0,9.68,36.2,4.52,234,1280
15.0,26.7,792000.0,0,9.35,35.3,4.69,213,768
15.0,26.7,678000.0,0,10.2,35.3,5.27,197,768
15.0,26.8,847000.0,0,11.1,37.1,6.33,256,1024
15.0,26.9,774000.0,0,11.3,37.1,7.15,236,1024
15.0,26.9,795000.0,0,11.1,36.6,6.34,229,1024
15.0,27.0,1019999.0,0,10.3,37.7,5.83,258,1024
15.0,26.7,852000.0,0,10.4,36.8,5.65,214,1024
15.0,27.0,1260000.0,0,11.2,37.1,6.26,375,1024
15.0,26.2,595000.0,0,8.94,36.4,4.32,386,1024
15.0,26.2,555000.0,0,9.09,36.7,4.87,208,1024
15.0,26.9,984000.0,0,10.6,35.8,5.80,265,1024
15.0,26.7,821000.0,0,10.5,35.2,6.38,252,1024
15.0,25.9,535000.0,0,10.2,37.8,6.34,224,1024
15.0,26.8,1080000.0,1.1,10.4,37.1,5.62,269,1024
15.0,26.5,717000.0,0,8.95,35.8,3.73,232,1024
14.4,25.4,893000.0,2.9,9.17,36.6,4.21,252,1024
15.0,26.6,1170000.0,0,9.47,36.4,5.44,305,1024
15.0,26.9,696000.0,0,9.29,36.9,4.80,235,1024
15.0,27.0,702000.0,0,10.0,36.6,5.17,227,1024
15.0,27.0,838000.0,0,10.4,37.1,5.38,267,1024
15.0,27.0,613000.0,0,9.71,37.2,4.65,211,1024
15.0,27.0,429000.0,1.3,10.4,36.9,5.30,165,1024
14.1,23.7,825000.0,0,10.5,35.5,5.67,221,1024
15.0,27.0,533000.0,0,9.45,38.0,4.95,208,1024
15.0,26.9,635000.0,0,9.68,35.9,4.69,236,1024
15.0,26.8,956000.0,2.2,10.3,37.7,6.42,263,1024
15.0,26.9,1180000.0,0,10.1,36.3,5.17,299,1024
15.0,27.0,631000.0,0,8.75,37.0,3.70,186,1024
15.0,27.0,1150000.0,0,9.65,36.1,4.84,279,1024
15.0,27.0,681000.0,1.2,8.97,38.2,3.84,210,1024
15.0,26.1,558000.0,1.8,9.00,36.2,4.82,203,1024
15.0,26.7,388000.0,0,9.23,35.6,5.79,160,1024
15.0,26.8,697000.0,0,10.3,35.6,6.48,192,1024
15.0,26.9,667000.0,0,9.20,37.1,4.21,201,1024
15.0,26.7,478000.0,0,9.68,37.3,4.52,158,1024
15.0,27.0,861000.0,0,9.09,35.8,4.08,228,1024
15.0,26.9,801000.0,0,8.74,35.5,3.78,249,1024
